welcome,Welcome to {0}!,Benvenuti in {0}!
homepage,Homepage,Pagina iniziale
latest-notes,Latest notes,Note più recenti
latest-uploads,Latest uploads,Caricamenti più recenti
new-note,New note,Crea nota
upload-file,Upload file,Carica immagine
easter-date-calc,Easter date calculation,Calcolo della data di Pasqua
easter,Easter,Pasqua
other-dates,Other dates,Altre date
jump-to-actions,Jump to actions,Salta alle azioni
last-changed,Last changed,Ultima modifica
page-id,Page ID,ID pagina
action-edit,Edit,Modifica
action-history,History,Cronologia
tags,Tags,Etichette
old-revision-notice,Showing an old revision of the page as of,"È mostrata una revisione vecchia della pagina, risalente al"
notes-tagged,Notes tagged,Note con etichetta
include-tags,Include tags,Includi etichette
notes-tagged-empty,None found :(,Non c’è nulla :(
search-no-results,No results for,Nessun risultato per
random-page,Random page,Pagina casuale
search,Search,Cerca
year,Year,Anno
calculate,Calculate,Calcola
